STAT_NM,STAT_ID,STAT_ADDR,STAT_X,STAT_Y,STAT_USETIME,STAT_PARKPAY,STAT_LIMITYN,STAT_LIMITDETAIL,STAT_KINDDETAIL
워터 서울 광화문,BE111108,서울특별시 종로구 종로1길 50,126.978913,37.574641,24시간 이용가능,N,N,,기타
광화문 로얄빌딩_B2,CGA00033,서울특별시 종로구 새문안로5길 19,126.97416813,37.571977000,24시간 이용가능,N,N,,사업장(사옥)
광화문 로얄빌딩_B3,CGA00034,서울특별시 종로구 새문안로5길 19,126.97441715,37.572031114,24시간 이용가능,N,N,,사업장(사옥)
SK에코플랜트,EP210268,서울특별시 종로구 율곡로2길 19,126.9810948,37.5744733,24시간 이용가능(직원전용),Y,Y,SK에코플랜트 직원만 이용가능,사업장(사옥)
서울시 세종로공영주차장(급속),EV003446,서울특별시 종로구 세종대로 지하 189,126.97591478,37.573374092,24시간 이용가능,N,N,외부인 사용불가,공영주차장
용비어천가,GN008634,서울특별시 종로구 새문안로3길 36,126.9732728,37.5734318,08:00~22:00,Y,Y,거주자외 출입제한,아파트
지에스건설,GN008901,서울특별시 종로구 종로 33,126.981438,37.5709618,08:00~24:00,Y,Y,관계자 외 출입제한,사업장(사옥)
서머셋팰리스서울,GN060001,서울특별시 종로구 율곡로2길 7,126.9812496,37.5750118,08:00~22:00,Y,N,,숙박시설
광화문시민열린마당 공영주차장,HE000007,서울특별시 종로구 중학동 111-1,126.978813,37.575303,24시간 이용가능,Y,N,시설 상황에 따라 이용이 제한될 수 있음,공영주차장
광화문시민열린마당 공영주차장,HE000007,서울특별시 종로구 중학동 111-1,126.978813,37.575303,24시간 이용가능,Y,N,,공영주차장
종로구청,HE000240,서울특별시 종로구 삼봉로 43,126.9791,37.5728,24시간 이용가능,Y,N,,관공서
광화문 D타워,HM000001,서울특별시 종로구 종로3길 17,126.9790641,37.57131123,24시간 이용가능,N,Y,RFID 카드만 가능,마트(쇼핑몰)
광화문 D타워,HM000001,서울특별시 종로구 종로3길 17,126.9790641,37.57131123,24시간 이용가능,N,N,,마트(쇼핑몰)
광화문 D타워_급속충전소,HM000004,서울특별시 종로구 종로3길 17,126.9789963,37.5707616,24시간 이용가능,N,N,,마트(쇼핑몰)
SC제일은행 본점,HM000119,서울특별시 종로구 종로 47,126.98257056,37.570611356,24시간 이용가능,N,N,,금융기관
94빌딩,HM000275,서울특별시 종로구 삼봉로 94,126.98223409,37.571838048,24시간 이용가능,N,N,,아파트
정부서울청사 본관,HM000680,서울특별시 종로구 세종대로 209,126.9752074,37.5749079,24시간 이용가능,N,Y,보안구역으로 출입이 제한됨,공공기관
연합뉴스,HM000725,서울특별시 종로구 율곡로2길 25,126.98051725,37.574364211,24시간 이용가능,N,N,,아파트
정부서울청사_별관,HM001290,서울특별시 종로구 사직로8길 60,126.97509812,37.573609993,24시간 이용가능,Y,N,,기타
코리아나호텔,HM001692,서울특별시 중구 세종대로 135,126.97624721,37.567813577,24시간 이용가능,Y,N,,숙박시설
신문로빌딩,HSH00195,서울특별시 종로구 새문안로3길 12,126.9729421,37.5713397,24시간 이용가능,Y,N,,기타
광화문오피시아빌딩,HSH00815,서울특별시 종로구 새문안로 92,126.974908,37.5696996,24시간 이용가능,Y,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다.,기타
광화문빌딩,HSH01139,서울특별시 종로구 세종대로 149,126.9761402,37.5695711,24시간 이용가능,Y,N,,기타
대우빌딩,JE050025,서울특별시 종로구 새문안로3길 30,126.97325717,37.57277526,24시간 이용가능,N,Y,사업장 거주자외 출입제한,사업장(사옥)
석탄회관 지하주차장,KP000281,서울특별시 종로구 종로5길 58,126.980345,37.573079,"주중 08시~22시, 토 08시~13시, 공휴일 미개방",N,N,,기타
서울시 종로구 트윈트리타워,PI200814,서울특별시 종로구 율곡로 6,126.97977583,37.575453862,24시간 이용가능,Y,N,,사업장(사옥)
케이티광화문빌딩 EAST,PI202850,"서울특별시 종로구 종로3길 33 (청진동, KT광화문빌딩East)",126.979,37.5719,비개방,Y,Y,사업장 거주자외 출입제한,사업장(사옥)
조계사,PL000630,서울특별시 종로구 우정국로 55,126.98188168,37.573893141,24시간 이용가능,Y,N,,종교시설
종로1가대성스카이렉스주상복합아파트입주자대표회의,PW012835,서울특별시 종로구 삼봉로 95,126.98256839,37.572311187,24시간 이용가능,Y,Y,거주자외 출입제한,아파트
TOWER 8,PW013976,서울특별시 종로구 종로5길 7,126.9805599,37.5706161,24시간 이용가능,Y,Y,거주자외 출입제한,기타
종로1가대성스카이렉스주상복합아파트,PW100858,서울특별시 종로구 삼봉로 95,126.98256839,37.572311187,24시간 이용가능,Y,Y,거주자외 출입제한,아파트
적선동 공영주차장,SE000036,서울특별시 종로구 새문안로5길 49-1,126.9740484,37.5745628,"주중 08:00~19:00, 주말 09:00~18:00",N,N,시설 상황에 따라 이용이 제한될 수 있음,공영주차장
르메이에르 종로타운,SF001336,서울특별시 종로구 종로 19,126.97992366,37.570844487,09:00~18:00,N,Y,해당 시설 정책에 따라 이용이 불가할 수 있습니다,아파트
도렴빌딩 (완속충전기),SF002635,서울특별시 종로구 새문안로5길 37,126.97421317,37.573648806,09:00~18:00,N,N,해당 시설 정책에 따라 이용이 불가할 수 있습니다,기타
한국생산성본부,TDA00022,서울특별시 종로구 새문안로5가길 32,126.9735469,37.5749071,24시간 이용가능,Y,N,,교육원
